视频 output1.avi 检测结果统计:
  purple球: 60 帧 (3.4%)
  无球: 1723 帧 (96.6%)

逐帧检测结果:
帧 0: purple球
帧 1: purple球
帧 2: purple球
帧 3: purple球
帧 4: purple球
帧 5: purple球
帧 6: purple球
帧 7: purple球
帧 8: purple球
帧 9: purple球
帧 10: purple球
帧 11: purple球
帧 12: purple球
帧 13: purple球
帧 14: purple球
帧 15: purple球
帧 16: 无球
帧 17: 无球
帧 18: 无球
帧 19: 无球
帧 20: 无球
帧 21: 无球
帧 22: 无球
帧 23: 无球
帧 24: 无球
帧 25: 无球
帧 26: 无球
帧 27: 无球
帧 28: 无球
帧 29: 无球
帧 30: 无球
帧 31: 无球
帧 32: 无球
帧 33: 无球
帧 34: 无球
帧 35: 无球
帧 36: 无球
帧 37: 无球
帧 38: 无球
帧 39: 无球
帧 40: 无球
帧 41: 无球
帧 42: 无球
帧 43: 无球
帧 44: 无球
帧 45: 无球
帧 46: 无球
帧 47: 无球
帧 48: 无球
帧 49: 无球
帧 50: 无球
帧 51: 无球
帧 52: 无球
帧 53: 无球
帧 54: 无球
帧 55: 无球
帧 56: 无球
帧 57: 无球
帧 58: 无球
帧 59: 无球
帧 60: 无球
帧 61: 无球
帧 62: 无球
帧 63: 无球
帧 64: 无球
帧 65: 无球
帧 66: 无球
帧 67: 无球
帧 68: 无球
帧 69: 无球
帧 70: 无球
帧 71: 无球
帧 72: 无球
帧 73: 无球
帧 74: 无球
帧 75: 无球
帧 76: 无球
帧 77: 无球
帧 78: 无球
帧 79: 无球
帧 80: 无球
帧 81: 无球
帧 82: 无球
帧 83: 无球
帧 84: 无球
帧 85: 无球
帧 86: 无球
帧 87: 无球
帧 88: 无球
帧 89: 无球
帧 90: 无球
帧 91: 无球
帧 92: 无球
帧 93: 无球
帧 94: 无球
帧 95: 无球
帧 96: 无球
帧 97: 无球
帧 98: 无球
帧 99: 无球
帧 100: 无球
帧 101: 无球
帧 102: 无球
帧 103: 无球
帧 104: 无球
帧 105: 无球
帧 106: 无球
帧 107: 无球
帧 108: 无球
帧 109: 无球
帧 110: 无球
帧 111: 无球
帧 112: 无球
帧 113: 无球
帧 114: 无球
帧 115: 无球
帧 116: 无球
帧 117: 无球
帧 118: 无球
帧 119: 无球
帧 120: 无球
帧 121: 无球
帧 122: 无球
帧 123: 无球
帧 124: 无球
帧 125: 无球
帧 126: 无球
帧 127: 无球
帧 128: 无球
帧 129: 无球
帧 130: 无球
帧 131: 无球
帧 132: 无球
帧 133: 无球
帧 134: 无球
帧 135: 无球
帧 136: 无球
帧 137: 无球
帧 138: 无球
帧 139: 无球
帧 140: 无球
帧 141: 无球
帧 142: 无球
帧 143: 无球
帧 144: 无球
帧 145: 无球
帧 146: 无球
帧 147: 无球
帧 148: 无球
帧 149: 无球
帧 150: 无球
帧 151: 无球
帧 152: 无球
帧 153: 无球
帧 154: 无球
帧 155: 无球
帧 156: 无球
帧 157: 无球
帧 158: 无球
帧 159: 无球
帧 160: 无球
帧 161: 无球
帧 162: 无球
帧 163: 无球
帧 164: 无球
帧 165: 无球
帧 166: 无球
帧 167: 无球
帧 168: 无球
帧 169: 无球
帧 170: 无球
帧 171: 无球
帧 172: 无球
帧 173: 无球
帧 174: 无球
帧 175: 无球
帧 176: 无球
帧 177: 无球
帧 178: 无球
帧 179: 无球
帧 180: 无球
帧 181: 无球
帧 182: 无球
帧 183: 无球
帧 184: 无球
帧 185: 无球
帧 186: 无球
帧 187: 无球
帧 188: 无球
帧 189: 无球
帧 190: 无球
帧 191: 无球
帧 192: 无球
帧 193: 无球
帧 194: 无球
帧 195: 无球
帧 196: 无球
帧 197: 无球
帧 198: 无球
帧 199: 无球
帧 200: 无球
帧 201: 无球
帧 202: 无球
帧 203: 无球
帧 204: 无球
帧 205: 无球
帧 206: 无球
帧 207: 无球
帧 208: 无球
帧 209: 无球
帧 210: 无球
帧 211: 无球
帧 212: 无球
帧 213: 无球
帧 214: 无球
帧 215: 无球
帧 216: 无球
帧 217: 无球
帧 218: 无球
帧 219: 无球
帧 220: 无球
帧 221: 无球
帧 222: 无球
帧 223: 无球
帧 224: 无球
帧 225: 无球
帧 226: 无球
帧 227: 无球
帧 228: 无球
帧 229: 无球
帧 230: 无球
帧 231: 无球
帧 232: 无球
帧 233: 无球
帧 234: 无球
帧 235: 无球
帧 236: 无球
帧 237: 无球
帧 238: 无球
帧 239: 无球
帧 240: 无球
帧 241: 无球
帧 242: 无球
帧 243: 无球
帧 244: 无球
帧 245: 无球
帧 246: 无球
帧 247: 无球
帧 248: 无球
帧 249: 无球
帧 250: 无球
帧 251: 无球
帧 252: 无球
帧 253: 无球
帧 254: 无球
帧 255: 无球
帧 256: 无球
帧 257: 无球
帧 258: 无球
帧 259: 无球
帧 260: 无球
帧 261: 无球
帧 262: 无球
帧 263: 无球
帧 264: 无球
帧 265: 无球
帧 266: 无球
帧 267: 无球
帧 268: 无球
帧 269: 无球
帧 270: 无球
帧 271: 无球
帧 272: 无球
帧 273: 无球
帧 274: 无球
帧 275: 无球
帧 276: 无球
帧 277: 无球
帧 278: 无球
帧 279: 无球
帧 280: 无球
帧 281: 无球
帧 282: 无球
帧 283: 无球
帧 284: 无球
帧 285: 无球
帧 286: 无球
帧 287: 无球
帧 288: 无球
帧 289: 无球
帧 290: 无球
帧 291: 无球
帧 292: 无球
帧 293: 无球
帧 294: 无球
帧 295: 无球
帧 296: 无球
帧 297: 无球
帧 298: 无球
帧 299: 无球
帧 300: 无球
帧 301: 无球
帧 302: 无球
帧 303: 无球
帧 304: 无球
帧 305: 无球
帧 306: 无球
帧 307: 无球
帧 308: 无球
帧 309: 无球
帧 310: 无球
帧 311: 无球
帧 312: 无球
帧 313: 无球
帧 314: 无球
帧 315: 无球
帧 316: 无球
帧 317: 无球
帧 318: 无球
帧 319: 无球
帧 320: 无球
帧 321: 无球
帧 322: 无球
帧 323: 无球
帧 324: 无球
帧 325: 无球
帧 326: 无球
帧 327: 无球
帧 328: 无球
帧 329: 无球
帧 330: 无球
帧 331: 无球
帧 332: 无球
帧 333: 无球
帧 334: 无球
帧 335: 无球
帧 336: 无球
帧 337: 无球
帧 338: 无球
帧 339: 无球
帧 340: 无球
帧 341: 无球
帧 342: 无球
帧 343: 无球
帧 344: 无球
帧 345: 无球
帧 346: 无球
帧 347: 无球
帧 348: 无球
帧 349: 无球
帧 350: 无球
帧 351: 无球
帧 352: 无球
帧 353: 无球
帧 354: 无球
帧 355: 无球
帧 356: 无球
帧 357: 无球
帧 358: 无球
帧 359: 无球
帧 360: 无球
帧 361: 无球
帧 362: 无球
帧 363: 无球
帧 364: 无球
帧 365: 无球
帧 366: 无球
帧 367: 无球
帧 368: 无球
帧 369: 无球
帧 370: 无球
帧 371: 无球
帧 372: 无球
帧 373: 无球
帧 374: 无球
帧 375: 无球
帧 376: 无球
帧 377: 无球
帧 378: 无球
帧 379: 无球
帧 380: 无球
帧 381: 无球
帧 382: 无球
帧 383: 无球
帧 384: 无球
帧 385: 无球
帧 386: 无球
帧 387: 无球
帧 388: 无球
帧 389: 无球
帧 390: 无球
帧 391: 无球
帧 392: 无球
帧 393: 无球
帧 394: 无球
帧 395: 无球
帧 396: 无球
帧 397: 无球
帧 398: 无球
帧 399: 无球
帧 400: 无球
帧 401: 无球
帧 402: 无球
帧 403: 无球
帧 404: 无球
帧 405: 无球
帧 406: 无球
帧 407: 无球
帧 408: 无球
帧 409: 无球
帧 410: 无球
帧 411: 无球
帧 412: 无球
帧 413: 无球
帧 414: 无球
帧 415: 无球
帧 416: 无球
帧 417: 无球
帧 418: 无球
帧 419: 无球
帧 420: 无球
帧 421: 无球
帧 422: 无球
帧 423: 无球
帧 424: 无球
帧 425: 无球
帧 426: 无球
帧 427: 无球
帧 428: 无球
帧 429: 无球
帧 430: 无球
帧 431: 无球
帧 432: 无球
帧 433: 无球
帧 434: 无球
帧 435: 无球
帧 436: 无球
帧 437: 无球
帧 438: 无球
帧 439: 无球
帧 440: 无球
帧 441: 无球
帧 442: 无球
帧 443: 无球
帧 444: 无球
帧 445: 无球
帧 446: 无球
帧 447: 无球
帧 448: 无球
帧 449: 无球
帧 450: 无球
帧 451: 无球
帧 452: 无球
帧 453: 无球
帧 454: 无球
帧 455: 无球
帧 456: 无球
帧 457: 无球
帧 458: 无球
帧 459: 无球
帧 460: 无球
帧 461: 无球
帧 462: 无球
帧 463: 无球
帧 464: 无球
帧 465: 无球
帧 466: 无球
帧 467: 无球
帧 468: 无球
帧 469: 无球
帧 470: 无球
帧 471: 无球
帧 472: 无球
帧 473: 无球
帧 474: 无球
帧 475: 无球
帧 476: 无球
帧 477: 无球
帧 478: 无球
帧 479: 无球
帧 480: 无球
帧 481: 无球
帧 482: 无球
帧 483: 无球
帧 484: 无球
帧 485: 无球
帧 486: 无球
帧 487: 无球
帧 488: 无球
帧 489: 无球
帧 490: 无球
帧 491: 无球
帧 492: 无球
帧 493: 无球
帧 494: 无球
帧 495: 无球
帧 496: 无球
帧 497: 无球
帧 498: 无球
帧 499: 无球
帧 500: 无球
帧 501: 无球
帧 502: 无球
帧 503: 无球
帧 504: 无球
帧 505: 无球
帧 506: 无球
帧 507: 无球
帧 508: 无球
帧 509: 无球
帧 510: 无球
帧 511: 无球
帧 512: 无球
帧 513: 无球
帧 514: 无球
帧 515: 无球
帧 516: 无球
帧 517: 无球
帧 518: 无球
帧 519: 无球
帧 520: 无球
帧 521: 无球
帧 522: 无球
帧 523: 无球
帧 524: 无球
帧 525: 无球
帧 526: 无球
帧 527: 无球
帧 528: 无球
帧 529: 无球
帧 530: 无球
帧 531: 无球
帧 532: 无球
帧 533: 无球
帧 534: 无球
帧 535: 无球
帧 536: 无球
帧 537: 无球
